DBPedia_S.S._Lazio39405,Euro2016_Lazio1,TRUE
DBPedia_KF_Skënderbeu_Korçë31258,Euro2016_Skënderbeu6,TRUE
DBPedia_FK_Partizani_Tirana11320,Euro2016_Partizani8,TRUE
DBPedia_FC_Nantes18535,Euro2016_Nantes1,TRUE
DBPedia_1._FC_Köln7562,Euro2016_Köln14,TRUE
DBPedia_SC_Fortuna_Köln4542,Euro2016_Köln14,FALSE
DBPedia_S.S.C._Napoli6937,Euro2016_Napoli16,TRUE
DBPedia_FC_Qarabag_Khankendi11890,Euro2016_Qarabağ23,TRUE
DBPedia_FC_Basel10969,Euro2016_Basel27,TRUE
DBPedia_FC_Nordstern_Basel20179,Euro2016_Basel27,FALSE
DBPedia_FC_Concordia_Basel8885,Euro2016_Basel27,FALSE
DBPedia_FC_Lugano30463,Euro2016_Lugano36,TRUE
DBPedia_SC_Freiburg33150,Euro2016_Freiburg38,TRUE
DBPedia_Delfino_Pescara_193638759,Euro2016_Pescara40,TRUE
DBPedia_FC_Zürich32508,Euro2016_FC_Zürich44,TRUE
DBPedia_FC_Red_Star_Zürich18814,Euro2016_FC_Zürich44,FALSE
DBPedia_Grasshopper_Club_Zürich22011,Euro2016_FC_Zürich44,FALSE
DBPedia_HNK_Rijeka24418,Euro2016_Rijeka51,TRUE
DBPedia_MTV_Ingolstadt24975,Euro2016_FC_Ingolstadt62,TRUE
DBPedia_Eintracht_Frankfurt8703,Euro2016_Eintracht_Frankfurt66,TRUE
DBPedia_Borussia_Mönchengladbach14104,Euro2016_Borussia_Mönchengladbach88,TRUE
DBPedia_VfB_Stuttgart35781,Euro2016_Stuttgart98,TRUE
DBPedia_Sportfreunde_Stuttgart368,Euro2016_Stuttgart98,FALSE
DBPedia_1._FCA_Darmstadt26650,Euro2016_Darmstadt102,FALSE
DBPedia_RB_Leipzig23930,Euro2016_Red_Bull_Leipzig110,TRUE
DBPedia_TSV_Schott_Mainz6989,Euro2016_Mainz115,FALSE
DBPedia_FC_Bayern_Munich27113,Euro2016_Bayern_Munich119,TRUE
DBPedia_TSV_1860_Munich22212,Euro2016_Bayern_Munich119,FALSE
DBPedia_FC_Bayern_Alzenau1817,Euro2016_Bayern_Munich119,FALSE
DBPedia_FC_Bayern_Munich_II31871,Euro2016_Bayern_Munich119,FALSE
DBPedia_FC_Luzern29673,Euro2016_FC_Luzern134,TRUE
